,follows_target,n_followers,n_following,n_posts,posts_over_time,bio,post_1_content,post_2_content,post_3_content,likes_post_1,comments_post_1,likes_post_2,comments_post_2,likes_post_3,comments_post_3,likes_post_4,comments_post_4,likes_post_5,comments_post_5,post_4_content
olinciaga,1.0,254.0,804.0,258.0,,,,,,,The paint cracks😭1dReply,,,,,,,,,
feelfashioncool,1.0,122.0,1140.0,151.0,1.0,"""La Betty Boop holandesa "".     You can be anything ! Que nadie te diga que no puedes!You can!♥️","feelfashioncool
#blackouttuesday #blacklivesmatter✊🏽✊🏾✊🏿
2w","feelfashioncool
Memories...Disneyland Paris...
Best familytrip from 2020♥️
7w","feelfashioncool
Los Indianos in La Palma (Canary Islands) 24/02/2020
Happiness after the sandstorm🤗 before CV19
7w",1.0,Gaaf ! Idee: minidopper del halve fles dwz incl dop 15cm ipv 23cm?🙏1dReply,,,,,,,,,
home.mb,,1379.0,246.0,179.0,1.0,⌂  Interior & momlife ⋒  Mama van Jae ' januari 20♡ Michael Bentley Binky✎ Samenwerken? Leuk! Please pm,"home.mb
|| M o o d 🥱 .
Vreselijk wat een k*t nacht hebben wij gehad. Eerst om 04.00u wakker van loeiende brandweer auto's, en daarna besloot Jae om 05.00u met de dag te beginnen. En hij vertikte het om weer in slaap te vallen. Uiteindelijk heeft ie nog even een half uurtje geslapen van 6.00 tot 6.30. Mijn god zeg, dus al vanaf 04.00u wakker. En ik ben doodop😵. Ik hoop dat jullie nacht beter was. Hoelaat begin jij de dag?
.
.
.
.
#interior123 #interior #woonkamer #interior4all #interieurinspiratie #woonkamerinrichting #prilaga #interieuraddict #hoekbank #interiorinspiration #zwartwitwonen #interiorinspo #zwartwitinterieur #livingroominspiration #mijneigenhuisentuin #interieur #woonkamerstyling #cozylivingroom #interieurstyling #mijnwestwingstijl #livingroominspo #mylivingroom #livingroomdecor #livingroomideas #showhometop5 #woonkamerinspiratie #livingroom #eigenhuisentuin
12h","home.mb
|| nov 1958 - jun 2020 🖤💔 .
2 weken geleden hebben we oa deze foto laten maken. En gisteren hebben we al afscheid van jou moeten nemen, van de allerliefste papa en kersverse trotse opa. Het is vreselijk zo jong. We hadden nog zoveel moois mee kunnen maken. Wat me het pijnste doet is dat je Jae niet ziet opgroeien. En dit deed jou ook het meest pijn. Dit heb je geschreven in je afscheidsbrief. Wegens de huidige omstandigheden moesten we in kleine kring afscheid nemen. Alle vele vrienden, de buurt, andere familieleden enz mochten er niet bij zijn, terwijl je dit zo graag had gewild. De mensen waar je feest mee vierde moesten ook bij het afscheid zijn heb je zelf altijd gezegd. Dit is nog onbegrijpelijk en oneerlijk. Je mag wel met duizenden protesteren op de dam, en met een vliegtuig weer op vakantie. Maar een waardig afscheid met alle geliefde ho maar! Onmenselijk.. alle lieve mensen die niet bij het afscheid mochten zijn stonden met velen in de straat. Klappend jou een laatste groet geven. Wat was dit indrukwekkend en hartverwarmend. Dit bleek ook uit de 200 kaarten en 20 bloemstukken. Je was geliefd! We hebben je een waardig afscheid gegeven, en ik heb je begeleid van begin tot eind.
Voor ons gaat het nu beginnen maar dappere bikkel, jij hebt je welverdiende rust. Wij houden van jou! 🖤
4d","home.mb
Ons lichtpuntje, die lieve kleine Jae 🖤. Op deze foto ook het speendoekje en speentje die wij mochten ontvangen van @kleineukkie 😊.
.
.
.
.
#babykamerideeen #ikeanederland #babykamers #babyroomideas #babyroominspo #kinderkamerinspiratie #babyroom #kidsroomideas #babykamerinspo #showhometop5 #kinderkamer #kidsroomstyling #babykameron #kidsroom #kidsrooms #kidsroomkiekjes #babykamer #mijneigenhuisentuin #kidsroominspo #babykameraccessoires #babykamerinrichting #babykamerstyling #babykamerdecoratie #mijnwestwingstijl #babykamerinspiratie #mijnikea #kidsroomdecor
1w",,"Zo gaaf deze, net besteld😍1d1 likeReply",,,,,,,,,
murielle_victorine_scherre,1.0,4871.0,138.0,441.0,,influenzar,,,,,🙏1d1 likeReply,,,,,,,,,
gulendamin_gunlugu,1.0,1045.0,2526.0,1682.0,1.0,"Turkey🇹🇷 Nederland 🇳🇱 Evli ve iki cocuklu 💕🙏hollandada yasam, guzel fotoraflar, guzel yemekler, guzel resimler,saglikli ogunler,","gulendamin_gunlugu
Lahmacun mmm #turkspizza
1h","gulendamin_gunlugu
Askito😍😍
2d",,1.0,👍👍👍❤️1d1 likeReply,1.0,"Ik woon in Nederland, ik wil heel graag winnen voor mijn lieve vader❤️5dReply",,,,,,,https://www.instagram.com/p/CBduSdYjIhd/
1_oftheguys_nl,,165.0,679.0,122.0,1.0,"1 of the Guys / Two in a Million - menswear fashion agency - based in Amsterdam, NL @arma.online @lesdeux","1_oftheguys_nl
AW20 Les Deux -book your appointment now !#nyc#loweastside #art#fashion#menswear#cool#casual#street#preppy#legend#icon#lesdeux#is#1oftheguys#twoinamillion#fashionagency#amsterdam
21w","1_oftheguys_nl
AW20 Les Deux collection ; NYC, Lower East Side . In Our showroom now ! #art#fashion#menswear#cool#casual#street#preppy#1oftheguys#twoinamillion#fashionagency#amsterdam
22w","1_oftheguys_nl
Les Deux AW20 collection #mensfashion #street#preppy#showroom#amsterdam#twoinamillion#fashionagency
22w",,"@dopper_official welke keur is dit , ik zie deze grijze variant met staal niet staan@op jullie site ... alleen de zwarte variant1dRep",,,,,,,,,
monique_bavius_pasman,1.0,213.0,452.0,48.0,,,,,,1.0,@svdvorst 🖤🖤1d2 likesReply,,,,,,,,,
emanlo876,1.0,1651.0,1572.0,1190.0,1.0,Designer/Artist/Art and Design Happy to sharing my artwork 🎨#emanillustration 🌈🐈 #blackcat黑咪 (18y.2017),"emanlo876
🌥☁️hidden meow🐾🐾🌿🌿🌿🐈🐈
#Enjoydrawing #cat #lineart #art #arthk #catart #inkart #inkhk #kitten #blackcat #myartwork #香港原創 #instaartist #手繪插畫 #香港手繪 #猫 #linedrawing #花と猫 #猫の絵 #花の絵 #猫イラスト #patterndesign #貓繪 #花繪 #catdrawing #emanillustration #inkdrawing #inkillustration #floralillustration #catillustration
1d","emanlo876
🌧🌧🌧hidden meow birthday card for my best friend 🐾🐾🌿🌿🌿🐈🐈
#Enjoydrawing #cat #lineart #art #arthk #catart #inkart #inkhk #kitten #blackcat #myartwork #香港原創 #instaartist #手繪插畫 #香港手繪 #猫 #linedrawing #花と猫 #猫の絵 #花の絵 #猫イラスト #patterndesign #貓繪 #花繪 #catdrawing #emanillustration #inkdrawing #inkillustration #floralillustration #catillustration
5d","emanlo876
🌧🌧🌧hidden meow birthday card for my best friend 🐾🐾🌿🌿🌿🐈🐈
#Enjoydrawing #cat #lineart #art #arthk #catart #inkart #inkhk #kitten #blackcat #myartwork #香港原創 #instaartist #手繪插畫 #香港手繪 #猫 #linedrawing #花と猫 #猫の絵 #花の絵 #猫イラスト #patterndesign #貓繪 #花繪 #catdrawing #emanillustration #inkdrawing #inkillustration #floralillustration #catillustration
5d",1.0,,,,,,,,,,
mape_llm,,19.0,90.0,12.0,1.0,"Abogado de Propiedad Intelectual, egresado de @FordhamLawNYC. Me gustan las computadoras, el sushi, y el whisky.",,"mape_llm
Nude
4w",,1.0,,,,,,,,,,https://www.instagram.com/p/CAYgJ4Zjjnp/
lola_genee,1.0,447.0,912.0,30.0,1.0,Spinoza20firstArtistSoccerPhotographer‘Answer one question and a thousand more will follow’,"lola_genee
Its all about perspective 📷
.
.
.
.
.
#gottheshot #pictureoftheday #photography #skateboard #skate #sundayfunday #bluesky #skateboardingisfun #skateboard #sk8 #sk8dlx #skatedeluxe #orange #orangeandblack #focus #closeupphotography #closeup #ground #perspective #itsaboutperspective
3w","lola_genee
:)
-
-
-
#:) #birthday #goodnight #photography #yellow #bluesky #14yearsold
3w","lola_genee
“You don’t have to be great to get started, you have to get started to be great.” - Les brown .
.
#sk8 #skater #sk8ter #lesbrown #lesbrownquotes #motivation #vansoldskool #atthepark
7w",1.0,,,,,,,,,,
